pcap_filename,label,total_trace_packets,trace_pt_1,trace_pt_2,trace_pt_3,trace_pt_4,trace_pt_5,trace_pt_6,trace_pt_7,trace_pt_8,trace_pt_9,trace_pt_10,trace_pt_11,trace_pt_12,trace_pt_13,trace_pt_14,trace_pt_15,trace_pt_16,trace_pt_17,trace_pt_18,trace_pt_19,trace_pt_20
abc_net_au_v9.pcap,abc_net_au,81,-589.0,2877.4736842105262,3465.0,9070.52631578947,18496.368421052623,49152.05263157893,77348.26315789472,115604.26315789469,141361.73684210525,184800.0526315789,223513.3157894736,278840.47368421045,335615.6315789472,429352.8947368421,451302.5789473684,564925.7368421053,642341.7368421052,708266.8947368419,827007.6315789473,863465.0
ndtv_com_v2.pcap,ndtv_com,16,-589.0,2099.9473684210525,2729.0,2621.5263157894738,2527.8947368421054,2432.3684210526317,2347.157894736842,2249.0,2304.4210526315787,2600.4736842105262,2896.5263157894733,3027.0,3117.7894736842104,3270.1578947368416,3569.684210526316,3939.9473684210525,3948.947368421053,3870.5789473684213,3835.2105263157896,3911.0
express_co_uk_v10.pcap,express_co_uk,13,-589.0,1260.2631578947367,2762.157894736842,3777.7368421052633,3875.421052631579,3792.3684210526317,3717.842105263158,3642.0526315789475,3566.3684210526317,3498.7894736842104,3422.0526315789475,3336.157894736842,3474.315789473684,3610.1052631578946,3700.4210526315787,3674.2105263157896,3760.947368421053,4606.631578947367,4923.631578947368,4863.0
cnbc_com_v9.pcap,cnbc_com,16,-589.0,1586.7894736842104,2079.0,1971.5263157894738,1877.8947368421052,1782.3684210526317,1697.157894736842,1599.5263157894738,1655.4210526315787,1951.4736842105262,2247.5263157894733,2378.0,2468.7894736842104,2495.8947368421054,2446.9473684210525,2851.157894736842,3228.210526315789,3360.5789473684213,3325.2105263157896,3401.0
nypost_com_v2.pcap,nypost_com,150,-577.0,1972.2105263157894,4218.421052631579,6919.684210526315,27966.8947368421,48416.36842105262,71785.84210526316,95155.3157894737,121060.5789473684,178855.31578947368,229657.42105263151,297825.84210526326,400573.2105263157,526757.4210526313,675774.2631578948,859129.0000000002,1016818.4736842104,1234875.1052631577,1451732.9999999998,1577723.0
cnbc_com_v7.pcap,cnbc_com,16,-589.0,1586.7894736842104,2079.0,1971.5263157894738,1877.8947368421052,1782.3684210526317,1697.157894736842,1599.5263157894738,1655.4210526315787,1951.4736842105262,2247.5263157894733,2378.0,2468.7894736842104,2495.8947368421054,2446.9473684210525,2851.157894736842,3228.210526315789,3360.5789473684213,3325.2105263157896,3401.0
nypost_com_v6.pcap,nypost_com,320,-577.0,4106.0,21207.052631578943,58517.89473684211,95776.68421052632,134396.1052631579,210631.1052631579,303868.7894736842,374286.5789473684,473639.7368421053,569576.5789473684,652653.7894736842,760737.5263157894,889040.7368421053,1010176.6315789474,1139953.4736842106,1255301.3684210526,1377915.5789473683,1484173.894736842,1589993.0
rt_com_v1.pcap,rt_com,146,-589.0,2280.684210526316,18363.052631578947,41013.57894736843,63664.10526315789,86314.63157894737,108965.15789473684,131615.68421052632,154266.2105263158,176916.73684210525,199567.26315789475,222217.7894736842,242582.0,264622.8421052631,287273.3684210526,309923.8947368421,329678.4210526316,352328.947368421,374979.4736842105,391659.0
nypost_com_v7.pcap,nypost_com,354,-577.0,4101.684210526316,22775.10526315789,47350.105263157886,89036.26315789473,133620.31578947368,178927.5789473684,219972.84210526312,277897.2105263157,353624.3157894736,434697.8947368421,530142.3684210527,637193.1052631575,742076.3157894737,891415.3157894737,1051045.2105263155,1185878.8421052624,1328630.2105263157,1463333.0526315782,1591656.0
timesofindia_com_v1.pcap,timesofindia_com,144,-589.0,5135.315789473684,10763.631578947368,11358.368421052632,30396.8947368421,51118.368421052626,71839.84210526315,97851.84210526315,130817.10526315788,171264.6842105263,215491.21052631576,276496.2631578948,347704.47368421045,432819.21052631567,529195.2105263157,656105.105263158,808560.6842105262,1062821.1052631573,1222532.2631578946,1306296.0
abc_net_au_v4.pcap,abc_net_au,74,-589.0,3110.6315789473683,2986.578947368421,3661.7894736842104,11224.473684210527,22323.0,38680.05263157895,67002.15789473684,88617.73684210527,115415.63157894737,152959.21052631582,195304.0526315791,253043.4210526316,353536.8947368419,442370.15789473685,544083.0000000001,633754.5789473684,722282.9999999997,827501.5263157894,863680.0
rt_com_v4.pcap,rt_com,147,-589.0,2299.157894736842,14353.473684210527,37160.21052631579,59966.94736842105,82773.68421052632,105580.42105263159,128387.15789473684,151193.8947368421,174000.63157894736,196807.3684210526,219614.10526315792,242420.84210526315,265227.5789473684,288034.3157894737,310841.052631579,333647.7894736842,356454.52631578944,379261.2631578947,391755.0
washingtonpost_com_v6.pcap,washingtonpost_com,16,-589.0,1754.157894736842,2817.842105263158,3081.0,2966.3684210526317,2873.2105263157896,2777.842105263158,2689.684210526316,2595.105263157895,2539.4736842105262,2835.5263157894733,3131.5789473684213,3313.0,3410.1052631578946,3491.6315789473683,3576.1052631578946,3527.947368421053,3449.5789473684213,3414.2105263157896,3490.0
washingtonpost_com_v7.pcap,washingtonpost_com,16,-589.0,1754.157894736842,2817.842105263158,3081.0,2966.3684210526317,2873.2105263157896,2777.842105263158,2689.684210526316,2595.105263157895,2539.4736842105262,2835.5263157894733,3131.5789473684213,3313.0,3410.1052631578946,3491.6315789473683,3576.1052631578946,3527.947368421053,3449.5789473684213,3414.2105263157896,3490.0
news18_com_v3.pcap,news18_com,95,-589.0,3773.2105263157896,4115.526315789473,7172.368421052628,21856.15789473684,51705.84210526315,72943.73684210525,111176.57894736843,148037.63157894736,209667.10526315786,291492.3684210526,406926.47368421056,518092.7894736841,628496.9999999997,743702.4736842104,824537.0,942333.6315789474,1062873.8421052631,1191949.6315789474,1219952.0
cnbc_com_v2.pcap,cnbc_com,16,-589.0,1587.5789473684208,2080.0,1972.5263157894738,1878.8947368421052,1783.3684210526317,1698.157894736842,1600.5263157894738,1656.4210526315787,1952.4736842105262,2248.5263157894733,2379.0,2469.7894736842104,2658.473684210526,3059.684210526316,3429.9473684210525,3438.947368421053,3360.5789473684213,3325.2105263157896,3401.0
ndtv_com_v3.pcap,ndtv_com,16,-589.0,1754.157894736842,2673.684210526316,2832.0,2717.3684210526317,2624.2105263157896,2528.842105263158,2440.684210526316,2348.0,2296.4736842105262,2592.5263157894733,2888.5789473684213,3070.0,3246.3157894736837,3568.684210526316,3938.9473684210525,3947.947368421053,3869.5789473684213,3834.2105263157896,3910.0
timesofindia_com_v2.pcap,timesofindia_com,146,-589.0,5202.578947368421,10736.157894736842,11307.842105263158,26553.684210526317,46904.84210526317,66500.21052631579,87531.57894736841,118539.36842105263,151663.3684210526,186979.15789473685,252979.99999999994,316789.05263157893,401986.9473684207,507817.8947368421,673582.947368421,898979.789473684,1060512.4210526312,1261799.5789473678,1306379.0
indiatimes_com_v5.pcap,indiatimes_com,18,-589.0,2045.1052631578946,3378.157894736842,4818.263157894737,5269.0,5149.105263157895,5042.421052631579,4937.8421052631575,4837.526315789473,4742.736842105263,5078.263157894737,5413.789473684211,5571.0,5671.0526315789475,6045.315789473684,6547.1578947368425,6788.473684210527,6697.789473684211,6632.105263157895,6718.0
cnbc_com_v10.pcap,cnbc_com,16,-589.0,1586.7894736842104,2079.0,1971.5263157894738,1877.8947368421052,1782.3684210526317,1697.157894736842,1599.5263157894738,1655.4210526315787,1951.4736842105262,2247.5263157894733,2378.0,2468.7894736842104,2657.9999999999995,3060.684210526316,3430.9473684210525,3439.947368421053,3361.5789473684213,3326.2105263157896,3402.0
ndtv_com_v7.pcap,ndtv_com,17,-589.0,1910.3684210526312,2727.9473684210525,2809.0,2693.5263157894738,2593.5263157894738,2492.3684210526317,2402.2631578947367,2293.0,2475.1052631578946,2790.894736842105,3043.0,3151.842105263158,3238.578947368421,3162.684210526316,3375.9473684210525,3735.1578947368416,3951.684210526316,3901.157894736842,3982.0
news18_com_v1.pcap,news18_com,189,-589.0,4114.526315789473,18959.15789473684,58971.73684210525,105105.63157894736,196773.10526315778,341321.94736842107,440541.4210526316,513101.2631578947,546661.6842105263,596334.0,648081.8421052631,742653.5263157894,820437.1578947365,891084.2105263158,958602.7368421053,1018818.5789473684,1108046.6842105263,1191247.6315789474,1227625.0
nypost_com_v10.pcap,nypost_com,154,-577.0,2033.8947368421052,4173.0,6466.105263157893,29037.368421052623,53034.21052631578,77031.05263157893,103025.78947368418,143159.4736842105,189056.31578947365,245250.0,301366.8421052631,399055.2631578947,554990.0,675797.7894736838,887058.842105263,1041910.3157894736,1277489.47368421,1444412.6315789472,1578465.0
indiatimes_com_v1.pcap,indiatimes_com,18,-589.0,2066.578947368421,3383.210526315789,4691.0,5320.368421052632,5357.0,5233.526315789473,5127.1578947368425,5021.105263157895,4923.842105263158,4802.1578947368425,5110.789473684211,5446.315789473684,5629.0,6030.631578947368,6304.631578947368,6394.368421052632,6697.789473684211,6632.105263157895,6718.0
washingtonpost_com_v3.pcap,washingtonpost_com,16,-589.0,1754.157894736842,2817.842105263158,3081.0,2966.3684210526317,2873.2105263157896,2777.842105263158,2689.684210526316,2595.105263157895,2539.4736842105262,2835.5263157894733,3131.5789473684213,3313.0,3410.1052631578946,3491.6315789473683,3576.1052631578946,3527.947368421053,3449.5789473684213,3414.2105263157896,3490.0
rt_com_v2.pcap,rt_com,147,-589.0,2299.157894736842,12905.473684210527,35712.21052631579,58518.94736842105,81325.68421052632,104132.42105263159,126939.15789473684,149745.8947368421,172552.63157894736,195359.3684210526,218166.10526315792,240972.84210526315,263779.5789473684,286586.3157894737,309393.052631579,332199.7894736842,355006.52631578944,377813.2631578947,391775.0
express_co_uk_v6.pcap,express_co_uk,14,-589.0,1414.3684210526314,2931.4210526315787,3939.842105263158,3846.7894736842104,3761.315789473684,3680.263157894737,3597.4736842105262,3521.315789473684,3443.5263157894738,3350.4736842105267,3461.1052631578946,3608.2105263157896,3699.894736842105,3773.6315789473683,3789.8947368421054,3719.421052631579,4559.684210526313,5022.684210526316,4957.0
ndtv_com_v1.pcap,ndtv_com,17,-589.0,1910.3684210526312,2728.6315789473683,2810.0,2694.5263157894738,2594.5263157894738,2493.3684210526317,2403.2631578947367,2294.0,2476.1052631578946,2791.894736842105,3044.0,3152.842105263158,3239.578947368421,3163.684210526316,3378.2105263157896,3738.1578947368416,3954.684210526316,3904.157894736842,3985.0
